assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,5,127,None,None,1,0.45,200641,None,,0,0,0,0,121.9,203,122,None,,0,3,2.1,None,0,0.99,0.44,2.08,0.93,1.09,2.16,0.96,0.49,Reiss,0.0,385,122,3,1.34,3,48.0,234,112,578,False,179.8,254,111,202,,None,50,216,143,0,0,None,0,,200641.jpg,3.8,63,27,0,0,0.0,Nelson,0.0,561,226,False,None,0,0.0,a,1,3,178.0,157,101,42,0,0,0,0,0.0,8.4,Nelson,0
3,5,278,50,None,7,0.48,106468,None,,0,0,0,0,321.1,98,18,None,,0,2,0.9,None,0,2.57,0.17,3.16,0.21,0.59,17.83,1.21,0.04,Alexandre,0.0,340,171,10,0.68,0,72.3,179,53,32,False,254.4,214,79,1325,Hamstring injury - 50% chance of playing,2023-07-05T16:30:03.686424Z,50,171,19,0,0,None,0,,106468.jpg,3.8,62,13,0,0,0.0,Moreno Lopera,0.5,236,82,False,None,14,0.95,d,2,7,151.0,175,34,72,0,0,0,0,0.0,14.4,Alex Moreno,3
0,0,13,None,None,0,0.0,433979,None,,0,0,0,0,2.4,344,40,None,,0,4,0.5,None,0,0.01,0.02,0.01,0.02,0.00,0.37,0.77,0.0,Cameron,0.0,256,12,1,2.09,0,0.9,373,41,33,False,1.8,375,40,43,,None,45,433,66,0,0,None,0,,433979.jpg,1.0,367,39,0,0,0.0,Archer,6.5,54,10,False,None,0,0.0,a,2,7,6.0,332,42,6,0,0,0,0,0.0,1.3,Archer,0
5,6,242,None,None,8,0.37,215711,4,,0,0,0,0,452.8,61,52,3,,0,3,1.5,None,0,4.77,0.22,10.11,0.46,5.34,35.15,1.61,0.24,Leon,0.0,489,188,32,1.47,4,132.8,72,54,34,False,339.6,173,76,1964,,None,55,120,75,0,0,None,0,,215711.jpg,3.0,139,56,0,0,0.0,Bailey,0.8,196,68,False,None,26,1.19,a,2,7,540.0,50,34,100,0,0,0,0,0.0,18.2,Bailey,4
3,8,370,None,None,11,0.41,195546,None,,0,0,0,0,559.9,42,35,None,,0,3,1.7,None,0,3.95,0.15,10.27,0.39,6.32,36.65,1.37,0.24,Emiliano,0.0,521,209,34,1.27,5,158.5,52,37,35,False,441.6,120,54,2404,,None,60,67,40,0,0,None,0,,195546.jpg,3.1,128,53,0,0,0.0,Buendía Stati,0.4,274,87,False,None,27,1.01,a,2,7,582.0,42,29,117,0,0,0,0,0.0,19.5,Buendia,0
2,3,311,None,None,4,0.2,199796,None,,0,0,0,0,178.3,163,41,None,,0,2,1.5,None,0,0.95,0.05,1.15,0.06,0.20,27.14,1.34,0.01,Matty,0.0,188,115,29,1.44,0,54.9,216,74,36,False,303.0,187,66,1817,,None,45,365,90,0,0,None,0,,199796.jpg,2.2,216,81,0,0,0.0,Cash,3.7,87,29,False,None,20,0.99,a,2,7,67.0,256,89,57,0,0,0,0,0.0,12.7,Cash,4
0,0,67,None,None,0,0.0,101184,None,,0,0,0,0,29.8,303,114,None,,0,2,0.5,None,0,0.19,0.05,0.33,0.09,0.14,5.88,1.53,0.04,Calum,0.0,19,6,4,1.04,0,11.1,332,122,37,False,74.4,314,120,345,,None,40,503,144,0,0,None,0,,101184.jpg,0.9,381,134,0,0,0.0,Chambers,1.1,157,48,False,None,2,0.52,a,2,7,8.0,328,126,13,0,0,0,0,0.0,3.2,Chambers,2
0,1,98,None,None,3,0.35,84583,5,,0,0,0,0,152.5,179,112,4,,0,3,1.7,None,0,0.65,0.08,2.02,0.24,1.37,8.11,0.94,0.16,Philippe,0.0,512,204,9,1.04,1,48.8,232,110,38,False,119.2,286,125,777,,None,60,58,35,0,0,2,0,,84583.jpg,1.6,306,133,0,0,0.0,Coutinho Correia,0.4,268,85,False,None,7,0.81,a,2,7,218.0,138,90,32,0,0,0,0,0.0,5.3,Coutinho,3
0,0,0,None,None,0,0,221239,None,,0,0,0,0,0.0,563,60,None,,0,4,0.9,None,0,0.00,0,0.00,0,0.00,0.00,0,0,Keinan,0.0,402,27,0,0,0,0.0,565,61,39,False,0.0,564,60,0,,None,50,233,44,0,0,None,0,,221239.jpg,0.0,565,61,0,0,0,Davis,0.2,413,67,False,None,0,0,a,2,7,0.0,561,61,0,0,0,0,0,0.0,0.0,Davis,0
0,0,163,None,None,4,0.4,151589,None,,0,0,0,0,96.1,236,132,None,,0,3,1.1,None,0,0.14,0.01,0.86,0.08,0.72,14.68,1.47,0.07,Leander,0.0,356,98,14,1.4,0,30.6,282,132,40,False,143.4,274,118,897,,None,50,187,119,0,0,None,0,,151589.jpg,1.5,315,136,0,0,0.0,Dendoncker,0.1,510,179,False,None,9,0.9,a,2,7,64.0,257,133,37,0,0,0,0,0.0,7.4,Dendoncker,0
